Datum;Total Erstimpfungen (täglich);Total Erstimpfungen (kumuliert);Total Zweitimpfungen (täglich);Total Zweitimpfungen (kumuliert);Totale Impfungen (täglich);Total Impfungen (kumuliert);Anzahl gelieferte Impfdosen (kumuliert) Pfizer_BioNTech;Anzahl gelieferte Impfdosen (kumuliert) Moderna;Anzahl gelieferte Impfdosen (kumuliert) AstraZeneca;Anzahl gelieferte Impfdosen (kumuliert) (Total)
Monday, 29 March 2021;1633;74453;1929;44773;3562;119226;67250;75100;0;142350
Tuesday, 30 March 2021;2086;76539;1322;46095;3408;122634;67250;75100;0;142350
Wednesday, 31 March 2021;2006;78545;1427;47522;3433;126067;67250;75100;0;142350
Thursday, 1 April 2021;1935;80482;1422;48944;3357;129426;67250;75100;0;142350
Friday, 2 April 2021;460;80942;387;49331;847;130273;67250;75100;0;142350
Saturday, 3 April 2021;1174;82116;291;49622;1465;131738;67250;75100;0;142350
Sunday, 4 April 2021;0;82116;0;49622;0;131738;67250;75100;0;142350
Monday, 5 April 2021;663;82779;471;50093;1134;132872;67250;75100;0;142350
Tuesday, 6 April 2021;1870;84649;2304;52397;4174;137046;78950;103100;0;182050
Wednesday, 7 April 2021;2159;86808;2211;54608;4370;141416;78950;103100;0;182050
Thursday, 8 April 2021;2382;89190;1664;56272;4046;145462;78950;103100;0;182050
Friday, 9 April 2021;2610;91800;1612;57884;4222;149684;78950;103100;0;182050
Saturday, 10 April 2021;1395;93195;315;58199;1710;151394;78950;103100;0;182050
Sunday, 11 April 2021;372;93567;1;58200;373;151767;78950;103100;0;182050
Monday, 12 April 2021;2494;96061;1564;59764;4058;155825;78950;103100;0;182050
Tuesday, 13 April 2021;2789;98850;1315;61079;4104;159929;91625;103100;0;194725
Wednesday, 14 April 2021;3316;102166;894;61973;4210;164139;91625;103100;0;194725
Thursday, 15 April 2021;3746;105912;860;62833;4606;168745;91625;103100;0;194725
Friday, 16 April 2021;2998;108910;1223;64056;4221;172966;91625;103100;0;194725
Saturday, 17 April 2021;1385;110295;255;64311;1640;174606;91625;103100;0;194725
Sunday, 18 April 2021;1641;111936;1;64312;1642;176248;91625;108500;0;200125
Monday, 19 April 2021;3185;115121;1571;65883;4756;181004;91625;108500;0;200125
Tuesday, 20 April 2021;3258;118379;1762;67645;5020;186024;103325;108500;0;211825
Wednesday, 21 April 2021;4077;122456;1332;68977;5409;191433;103325;108500;0;211825
Thursday, 22 April 2021;4384;128327;11267;1312;
Friday, 23 April 2021;3908;132235;11267;1411;
Saturday, 24 April 2021;1364;133599;11267;347;
Sunday, 25 April 2021;1635;135234;11267;6;
Monday, 26 April 2021;2405;137639;11268;1692;
Tuesday, 27 April 2021;2299;139938;11268;2054;
Wednesday, 28 April 2021;2494;142432;11272;1962;
Thursday, 29 April 2021;2540;144972;11277;1864;
Friday, 30 April 2021;3307;148279;11292;681;
Saturday, 1 May 2021;712;148991;11292;1101;
Sunday, 2 May 2021;1684;150675;11292;8;
Monday, 3 May 2021;4527;155202;11296;773;
Tuesday, 4 May 2021;3984;159186;11341;1826
Wednesday, 5 May 2021;3884;163070;11415;2164
Thursday, 6 May 2021;4074;167144;11788;2638
